cellid,exampleid,ingoing,circuit,stream,command,length,t_trace
42391,111,True,3844208655,65046,DATA(2),498,1472610678.146186
42392,111,True,3844208655,65046,DATA(2),498,1472610678.146272
42393,111,True,3844208655,65046,DATA(2),498,1472610678.146292
42394,111,True,3844208655,65046,DATA(2),498,1472610678.14631
42395,111,True,3844208655,65046,DATA(2),498,1472610678.146327
42396,111,True,3844208655,65046,DATA(2),498,1472610678.146345
42397,111,True,3844208655,65046,DATA(2),498,1472610678.146391
42398,111,True,3844208655,65046,DATA(2),498,1472610678.14644
42399,111,True,3844208655,65046,DATA(2),498,1472610678.22535
42400,111,True,3844208655,65046,DATA(2),498,1472610678.225481
42401,111,True,3844208655,65046,DATA(2),498,1472610678.225524
42402,111,True,3844208655,65046,DATA(2),498,1472610678.22557
42403,111,True,3844208655,65046,DATA(2),498,1472610678.225611
42404,111,False,3844208655,65046,SENDME(5),0,1472610678.225637
42405,111,True,3844208655,65046,DATA(2),80,1472610678.225711
42406,111,False,3844208655,65047,BEGIN(1),4,1472610678.460621
42407,111,False,3844208655,65047,DATA(2),354,1472610678.460776
42408,111,False,3219482233,0,EXTEND2(14),119,1472610678.726851
42409,111,True,3844208655,65047,CONNECTED(4),0,1472610678.923794
42410,111,False,3844208655,65047,DATA(2),498,1472610678.924196
42411,111,False,3844208655,65047,DATA(2),498,1472610678.924243
42412,111,False,3844208655,65047,DATA(2),466,1472610678.924268
42413,111,True,3844208655,65047,DATA(2),498,1472610679.000699
42414,111,True,3844208655,65047,DATA(2),498,1472610679.003769
42415,111,True,3844208655,65047,DATA(2),498,1472610679.003838
42416,111,True,3844208655,65047,DATA(2),498,1472610679.003877
42417,111,True,3844208655,65047,DATA(2),498,1472610679.003913
42418,111,True,3844208655,65047,DATA(2),498,1472610679.003947
42419,111,True,3844208655,65047,DATA(2),498,1472610679.003978
42420,111,True,3844208655,65047,DATA(2),498,1472610679.00401
42421,111,True,3219482233,0,EXTENDED2(15),66,1472610679.079803
42422,111,False,3219482233,0,EXTEND2(14),119,1472610679.080226
42423,111,True,3844208655,65047,DATA(2),498,1472610679.080279
42424,111,True,3844208655,65047,DATA(2),498,1472610679.080309
42425,111,True,3844208655,65047,DATA(2),498,1472610679.080329
42426,111,True,3844208655,65047,DATA(2),498,1472610679.080347
42427,111,True,3844208655,65047,DATA(2),498,1472610679.080364
42428,111,True,3844208655,65047,DATA(2),498,1472610679.080381
42429,111,True,3844208655,65047,DATA(2),498,1472610679.080456
42430,111,True,3844208655,65047,DATA(2),498,1472610679.118729
42431,111,True,3844208655,65047,DATA(2),498,1472610679.198956
